scenario,month,active_pib,token_price_usd,storage_price_usd_per_gibmonth,issuance_monthly_nil,bps,cost_usd_per_gibmonth
Slow (10 PiB cap),105,9.966651926925866,0.003991416831162902,0.003991416831162902,27097.92973175878,25.929068058595877,0.00401972757876968
Slow (10 PiB cap),106,9.969815836752916,0.003974286598896182,0.003974286598896182,27052.01944014702,25.876923475241696,0.004002455119610046
Slow (10 PiB cap),107,9.97268039236989,0.003957240653984311,0.003957240653984311,27008.32435268755,25.8277055424682,0.003985268881564419
Slow (10 PiB cap),108,9.975273768433652,0.003940277483466442,0.003940277483466442,26966.7560946328,25.78125,0.003968167260029103
Slow (10 PiB cap),109,9.977621514787236,0.003923395696876414,0.003923395696876414,26927.22762732826,25.73740180678257,0.0039511487786621086
Slow (10 PiB cap),110,9.9797467961095,0.003906594014251438,0.003906594014251438,26889.653543200613,25.69601462354714,0.0039342120770074155
Slow (10 PiB cap),111,9.981670610575073,0.0038898712553022516,0.0038898712553022516,26853.95030614657,25.656950324416965,0.003917355899307679
Slow (10 PiB cap),112,9.983411989198256,0.003873226329635725,0.003873226329635725,26820.036444265414,25.620078535925078,0.003900579084394354
Slow (10 PiB cap),113,9.98498817743263,0.0038566582279305297,0.0038566582279305297,26787.832701110914,25.585276201904954,0.0038838805565540122
Slow (10 PiB cap),114,9.98641480049571,0.003840166013975419,0.003840166013975419,26757.262150945586,25.55242717280199,0.003867259317278665
Slow (10 PiB cap),115,9.987706013787227,0.003823748817487784,0.003823748817487784,26728.250282857243,25.52142181803517,0.003850714437816211
Slow (10 PiB cap),116,9.988874639671398,0.0038074058276377004,0.0038074058276377004,26700.725058037864,25.492156660115185,0.0038342450524447478
Slow (10 PiB cap),117,9.989932291799144,0.003791136287209547,0.003791136287209547,26674.61694402348,25.464534029297937,0.0038178503524015253
Slow (10 PiB cap),118,9.990889488055995,0.0037749394873396276,0.0037749394873396276,26649.858929245373,25.438461737620848,0.0038015295804037083
Slow (10 PiB cap),119,9.991755753136017,0.003758814762773928,0.003758814762773928,26626.38652084244,25.4138527712341,0.003785282025703958
Slow (10 PiB cap),120,9.992539711661633,0.003742761487595444,0.003742761487595444,26604.137728327933,25.390625,0.003769107019629221
Base (100 PiB cap),0,0.44962731609411827,0.00819856895801976,0.00819856895801976,20037.407535530012,425.0,0.008583901699046688
Base (100 PiB cap),1,0.5220125693558397,0.0080599267565208,0.0080599267565208,22034.358340542818,402.5497250726774,0.00842064855691948
Base (100 PiB cap),2,0.6059801491584116,0.007922800810940739,0.007922800810940739,24232.2011817717,381.3594872561357,0.008260596940079258
Base (100 PiB cap),3,0.703358715499516,0.007787255645758695,0.007787255645758695,26651.100120391402,361.3585661014858,0.008103697449566315
Base (100 PiB cap),4,0.8162571153159897,0.0076533510090309766,0.0076533510090309766,29313.14221003317,342.48021039363994,0.007949903214950546
Base (100 PiB cap),5,0.9471043581946115,0.007521142435485201,0.007521142435485201,32242.47902557827,324.66141537533633,0.007799170051279296
